,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
acrobats,0.5312499403591138,0.03125000003333215,0.03125000003912478,0.03125000009813998,0.03125000003683545,0.0312500000201085,0.2812500594069457,0.03125000000639968
across,0.2784470043874488,0.0449999944111814,0.0449999975288399,0.005000000047367707,0.04499999638533671,0.12500003583457273,0.08500008038110782,0.37155289102414485
act,0.1838235081355213,0.007352941192252031,0.0073529411949879026,0.007352941222915604,0.007352941193903464,0.007354355861712761,0.0661764880583357,0.7132338831403711
acted,0.06250000003559864,0.06250000010025915,0.06250000011755703,0.06250000029470147,0.06250000011070266,0.06250000006049064,0.06250000010876527,0.5624999991719253
actedout,0.06250000000591627,0.06250000001666006,0.06250000001955255,0.06250000004904599,0.06250000001840293,0.0625000000100526,0.5624999998771517,0.06250000000321784
action,0.2249998619497333,0.4250004571742356,0.025000000081551167,0.025000000204471292,0.025000000076763642,0.025000000041914456,0.025000000075295795,0.22499968039603485
actions,0.020874263764264815,0.1875000913034511,0.02083333338196282,0.02083333345516146,0.020833333379045884,0.02083333335829739,0.02083333337826242,0.687458977979554
active,0.4464286449777633,0.01785714290157131,0.01785714290929322,0.01785714298795823,0.017857142906258585,0.30357156043808264,0.017857142905315173,0.1607140799737575
activities,0.3749708252395609,0.04166666673685715,0.04166666674912558,0.0416666668730672,0.04166666674409849,0.37500006955190995,0.041666666742809194,0.041695771362571486
activity,0.4455945652202841,0.013888888927099623,0.013888888933713118,0.013888889001343887,0.1250000807512603,0.12499999009298993,0.013888888930313273,0.24884980814299576
actors,0.06250000000591627,0.06250000001666006,0.06250000001955255,0.06250000004904599,0.06250000001840293,0.0625000000100526,0.5624999998771517,0.06250000000321784
acts,0.37261407331154844,0.025000000059707005,0.025000000069899,0.025000000175245306,0.025000000065823823,0.025029544107902757,0.02500000006462606,0.47735638214524767
actually,0.18020781989024434,0.005434782623475892,0.09239138933895678,0.005434782652200409,0.005434782625018375,0.09893074555968256,0.0489130439714553,0.5632526533389663
add,0.04166666670886566,0.041666666785821815,0.041666666805817494,0.041666667015606874,0.04166666679793592,0.04181769351109732,0.37500034109085467,0.37484863128400026
added,0.21799140982014234,0.11250006231736635,0.012500000045050044,0.012500000113038779,0.012500000042428969,0.2699134830953746,0.11250006945398335,0.2495949751126157
addition,0.26562499903825165,0.01562500002895611,0.015625000033992902,0.015625000085250747,0.015625000032007633,0.015625000017471767,0.01562500003140622,0.640625000732663
address,0.04166982965880138,0.04166666672662214,0.041666666736928995,0.04166666684285868,0.04166666673283767,0.04166666670279801,0.04166666673169287,0.7083301698674602
addressed,0.01562500001026758,0.015625000028992107,0.015625000034043116,0.015625000085361197,0.14062505039668557,0.26562506179277345,0.015625000031441582,0.5156248876204355
adept,0.041666666693901795,0.3750001905180826,0.04166666675669514,0.04166666689225662,0.04166666675139277,0.04166666671295288,0.04166666674980604,0.3749998089249121
adequate,0.06250000003179126,0.06250000008943807,0.06250000010497701,0.062500000263059,0.06250000009885068,0.06250000005403487,0.06250000009696238,0.5624999992608867
adjoining,0.562499999588452,0.06250000005080945,0.06250000005964192,0.06250000014938498,0.06250000005615673,0.062500000030657,0.06250000005508795,0.06250000000981003
adjusted,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
adjustment,0.06250000003559864,0.06250000010025915,0.06250000011755703,0.06250000029470147,0.06250000011070266,0.06250000006049064,0.06250000010876527,0.5624999991719253
administering,0.06251155120438665,0.06250000011863072,0.06250000013893899,0.0625000003482954,0.06250000013086551,0.0625000000714732,0.06250000012862593,0.5624884478587836
administration,0.06250000003812228,0.06250000010733922,0.06250000012574364,0.06250000031530609,0.06250000011846649,0.06250000006468305,0.06250000011624761,0.5624999991140915
admirable,0.7075607255787043,0.04166666715664349,0.04166666724062309,0.04166666810587756,0.04166666720723946,0.04166666696177877,0.041666667197954636,0.042439270551178604
admiration,0.5312501088622189,0.03125000006946537,0.0312500000815746,0.03125000020439375,0.031250000076775836,0.03125000004191196,0.031250000075420906,0.2812498905882386
admire,0.06250000000597732,0.06250000001685209,0.06250000001976419,0.06250000004957482,0.5624999998761745,0.06250000001016465,0.06250000001824907,0.06250000000324342
admired,0.2308193700953346,0.025000000063218925,0.025000000074192803,0.025000000185989857,0.22500016929903066,0.02500000003811635,0.02500000006853941,0.41918046017557753
admit,0.06251155120438665,0.06250000011863072,0.06250000013893899,0.0625000003482954,0.06250000013086551,0.0625000000714732,0.06250000012862593,0.5624884478587836
admitted,0.1785232613079946,0.012500000033694171,0.11250006528768143,0.012500000099140348,0.012500000037191763,0.312500167204277,0.012500000036525275,0.34647650599349544
admitting,0.06250000003374016,0.06250000009487813,0.06250000011143321,0.06250000027895809,0.0625000001048479,0.06250000005728822,0.06250000010306578,0.5624999992157885
admonitions,0.04166666669584402,0.04166666674894918,0.37500024057772946,0.04166666690895568,0.04166666675759835,0.041666666716372265,0.04166666675587872,0.3749997588386725
adobe,0.37500004789339186,0.04166666677048494,0.04166666678854547,0.041666666972123255,0.04166666678140224,0.04166666672934648,0.04166666677925358,0.3749999512854522
